,scenario,period,action,byAddress,accountNumber,type,contractNumber,totalCost,transactionCost,contractCost,currentExpectedCost,nextExpectedCost,ProviderEarnings,providerCost,fraction,actionNum
0,2.0,0.0,deploy and publish,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,725.75834696352,708.5870773488,708.01003825344,0.0,708.01003825344,0.0,708.01003825344,0.5,50
1,2.0,2.0,addDataRequester,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,796.815106776,425.0617789392,354.00501912672,354.00501912672,177.00250956336,354.00501912672,0.0,0.5,50
2,2.0,3.0,addDataRequester,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,859.02273909504,239.2101418824,177.00250956336,177.00250956336,88.50125478168,531.00752869008,0.0,0.5,50
3,2.0,7.0,addDataRequester,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,921.23037141408,150.70888710072,88.50125478168,88.50125478168,44.25062739084,619.50878347176,0.0,0.5,50
4,2.0,8.0,addDataRequester,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,983.43800373312,106.45825970988,44.25062739084,44.25062739084,22.12531369542,663.7594108625999,0.0,0.5,50
5,2.0,8.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1001.3556299760002,40.0429399383,22.12531369542,22.12531369542,11.06265684771,685.88472455802,0.0,0.5,50
6,2.0,9.0,addDataRequester,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1063.5632622950402,73.27028916675,11.06265684771,11.06265684771,5.531328423855,696.94738140573,0.0,0.5,50
7,2.0,10.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1093.9487148345602,30.38545253952,24.52871505123,11.06265684771,24.52871505123,696.94738140573,738.39549079296,0.5,50
8,2.0,10.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1111.8663410774402,30.181983768740825,12.264357525615,12.264357525615,6.1321787628075,709.2117389313449,0.0,0.5,50
9,2.0,10.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1129.7839673203202,24.04980500593333,6.1321787628075,6.1321787628075,3.06608938140375,715.3439176941525,0.0,0.5,50
10,2.0,10.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1147.7015935632005,20.983715624529573,3.06608938140375,3.06608938140375,1.533044690701875,718.4100070755562,0.0,0.5,50
11,2.0,11.0,addDataRequester,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1209.9092258822402,63.74067700974188,1.533044690701875,1.533044690701875,0.7665223453509376,719.9430517662581,0.0,0.5,50
12,2.0,11.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1227.8268521251202,18.684148588476763,0.7665223453509376,0.7665223453509376,0.3832611726754688,720.7095741116091,0.0,0.5,50
13,2.0,13.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1245.7444783680005,18.30088741555547,0.3832611726754688,0.3832611726754688,0.1916305863377344,721.0928352842845,0.0,0.5,50
14,2.0,14.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1276.5362929862404,30.79181461824,14.706535732035467,0.3832611726754688,14.706535732035467,721.0928352842845,769.1873054112,0.5,50
