,scenario,period,action,byAddress,accountNumber,type,contractNumber,totalCost,transactionCost,contractCost,currentExpectedCost,nextExpectedCost,ProviderEarnings,providerCost,fraction
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1,2.0,0.0,deploy and publish,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,730.80178483104,708.5870773488,713.05347612096,0.0,713.05347612096,0.0,713.05347612096,0.1
2,2.0,1.0,addDataRequester,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,801.85854464352,142.36210742457598,641.748128508864,71.305347612096,64.1748128508864,71.305347612096,0.0,0.1
3,2.0,2.0,addDataRequester,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,864.06617696256,126.3824451699264,577.5733156579776,64.1748128508864,57.75733156579776,135.4801604629824,0.0,0.1
4,2.0,9.0,addDataRequester,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,926.2738092816,119.96496388483777,519.8159840921797,57.75733156579776,51.98159840921799,193.23749202878014,0.0,0.1
5,2.0,11.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,953.8713312336,27.597521952,530.8868789484999,519.8159840921797,530.8868789484999,193.23749202878014,740.65099807296,0.1
6,2.0,14.0,addDataRequester,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1016.0789635526401,115.29632021388998,477.7981910536499,53.08868789484998,47.779819105364986,246.32617992363015,0.0,0.1
7,2.0,14.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1033.99658979552,65.6974453484908,430.0183719482849,47.779819105364986,43.00183719482849,294.1059990289951,0.0,0.1
8,2.0,14.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1051.9142160384001,60.919463437954306,387.01653475345637,43.00183719482849,38.70165347534564,337.1078362238236,0.0,0.1
9,2.0,15.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1083.1394588227201,31.225242784320002,398.5704171412964,387.01653475345637,398.5704171412964,337.1078362238236,771.87624085728,0.1
10,2.0,15.0,addDataRequester,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1145.34709114176,102.06467403316964,358.71337542716674,39.85704171412964,35.871337542716674,376.96487793795325,0.0,0.1
11,2.0,15.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1163.26471738464,53.7889637858425,322.84203788445006,35.871337542716674,32.28420378844501,412.8362154806699,0.0,0.1
12,2.0,16.0,addDataRequester,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1225.47234970368,94.49183610748501,290.5578340960051,32.28420378844501,29.055783409600505,445.1204192691149,0.0,0.1
13,2.0,16.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1243.38997594656,46.973409652726325,261.5020506864046,29.055783409600505,26.150205068640457,474.17620267871547,0.0,0.1
14,2.0,17.0,addDataRequester,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1305.5976082656,88.35783738768046,235.35184561776407,26.150205068640457,23.535184561776408,500.32640774735586,0.0,0.1
15,2.0,18.0,addDataRequester,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1367.80524058464,85.7428168808164,211.8166610559877,23.535184561776408,21.18166610559877,523.8615923091323,0.0,0.1
16,2.0,18.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1385.72286682752,39.09929234872459,190.63499495038891,21.18166610559877,19.06349949503889,545.0432584147311,0.0,0.1
17,2.0,18.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1403.6404930704,36.98112573816471,171.57149545535003,19.06349949503889,17.157149545535002,564.10675790977,0.0,0.1
18,2.0,18.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1421.55811931328,35.074775788415,154.41434590981504,17.157149545535002,15.441434590981503,581.263907455305,0.0,0.1
19,2.0,19.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1439.47574555616,33.359060833861506,138.97291131883352,15.441434590981503,13.897291131883351,596.7053420462864,0.0,0.1
20,2.0,20.0,addDataRequester,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,1501.6833778752,76.10492345092335,125.07562018695018,13.897291131883351,12.507562018695017,610.6026331781699,0.0,0.1
21,2.0,20.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1519.60100411808,30.425188261575016,112.56805816825515,12.507562018695017,11.256805816825516,623.1101951968649,0.0,0.1
22,2.0,20.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1537.51863036096,29.174432059705516,101.31125235142964,11.256805816825516,10.131125235142964,634.3670010136904,0.0,0.1
23,2.0,20.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1555.43625660384,28.048751478022965,91.18012711628667,10.131125235142964,9.118012711628667,644.4981262488333,0.0,0.1
24,2.0,22.0,addDataRequester,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,1617.64388892288,71.32564503066867,82.06211440465802,9.118012711628667,8.2062114404658,653.616138960462,0.0,0.1
25,2.0,22.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1635.56151516576,26.1238376833458,73.85590296419221,8.2062114404658,7.38559029641922,661.8223504009278,0.0,0.1
26,2.0,23.0,addDataRequester,0x5F180b2f4750258566513c63381F04105bAAceeD,11.0,requester,0.0,1697.7691474848,69.59322261545923,66.47031266777299,7.38559029641922,6.647031266777298,669.207940697347,0.0,0.1
27,2.0,23.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1715.68677372768,24.564657509657298,59.8232814009957,6.647031266777298,5.982328140099569,675.8549719641243,0.0,0.1
28,2.0,24.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1762.45054603488,46.7637723072,83.89640329251569,59.8232814009957,83.89640329251569,675.8549719641243,818.64001316448,0.1
29,2.0,24.0,addDataRequester,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,1824.65817835392,70.59727264829158,75.50676296326412,8.38964032925157,7.550676296326411,684.2446122933759,0.0,0.1
30,2.0,24.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1842.5758045968,25.468302539452235,67.95608666693771,7.550676296326411,6.795608666693771,691.7952885897023,0.0,0.1
31,2.0,24.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1860.49343083968,24.713234909819594,61.16047800024394,6.795608666693771,6.116047800024393,698.5908972563961,0.0,0.1
32,2.0,24.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1878.41105708256,24.033674043150217,55.044430200219544,6.116047800024393,5.504443020021955,704.7069450564205,0.0,0.1
33,2.0,24.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1896.3286833254401,23.42206926314778,49.53998718019759,5.504443020021955,4.953998718019758,710.2113880764424,0.0,0.1
34,2.0,24.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,1914.2463095683202,22.87162496114558,44.58598846217783,4.953998718019758,4.458598846217782,715.1653867944622,0.0,0.1
35,2.0,24.0,renewToken,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,1932.1639358112002,22.376225089343606,40.127389615960055,4.458598846217782,4.012738961596004,719.62398564068,0.0,0.1
36,2.0,25.0,addDataRequester,0x38643b8d4A129c011F71B934f213582F19aFA04D,13.0,requester,0.0,1994.3715681302401,66.220371280636,36.11465065436405,4.012738961596004,3.6114650654364038,723.6367246022759,0.0,0.1
37,2.0,25.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,2012.2891943731202,21.529091308562226,32.50318558892764,3.6114650654364038,3.2503185588927628,727.2481896677124,0.0,0.1
