,scenario,period,action,byAddress,accountNumber,type,contractNumber,totalCost,transactionCost,contractCost,currentExpectedCost,nextExpectedCost,ProviderEarnings,providerCost,fraction
1,2.0,0.0,deploy and publish,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,728.2800658972799,708.5870773488,710.5317571871999,0.0,710.5317571871999,0.0,710.5317571871999,0.01
2,2.0,1.0,addDataRequester,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,799.3368257097599,78.16207738435199,703.4264396153279,7.105317571872,7.034264396153279,7.105317571872,0.0,0.01
3,2.0,2.0,addDataRequester,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,861.5444580287999,69.24189671519328,696.3921752191748,7.034264396153279,6.963921752191747,14.13958196802528,0.0,0.01
4,2.0,4.0,addDataRequester,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,923.75209034784,69.17155407123175,689.4282534669829,6.963921752191747,6.894282534669829,21.103503720217027,0.0,0.01
5,2.0,7.0,addDataRequester,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,985.95972266688,69.10191485370983,682.5339709323131,6.894282534669829,6.825339709323132,27.997786254886854,0.0,0.01
6,2.0,7.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1003.87734890976,24.742965952203132,675.70863122299,6.825339709323132,6.757086312229899,34.823125964209986,0.0,0.01
7,2.0,8.0,addDataRequester,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1066.0849812288,68.9647186312699,668.9515449107602,6.757086312229899,6.689515449107601,41.58021227643989,0.0,0.01
8,2.0,9.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1084.00260747168,24.6071416919876,662.2620294616524,6.689515449107601,6.6226202946165245,48.26972772554748,0.0,0.01
9,2.0,9.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1101.92023371456,24.540246537496525,655.639409167036,6.6226202946165245,6.5563940916703585,54.892348020164015,0.0,0.01
10,2.0,9.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1119.83785995744,24.47402033455036,649.0830150753657,6.5563940916703585,6.490830150753656,61.44874211183437,0.0,0.01
11,2.0,10.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1154.09339222112,34.25553226368,662.9675471227256,649.0830150753657,662.9675471227256,61.44874211183437,744.7872894508799,0.01
12,2.0,10.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1172.011018464,24.54730171435308,656.3378716514983,6.629675471227255,6.5633787165149835,68.07841758306162,0.0,0.01
13,2.0,11.0,addDataRequester,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1234.21865078304,68.77101103555499,649.7744929349834,6.5633787165149835,6.4977449293498335,74.6417962995766,0.0,0.01
14,2.0,13.0,addDataRequester,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1296.4262831020799,68.70537724838984,643.2767480056335,6.4977449293498335,6.432767480056335,81.13954122892645,0.0,0.01
15,2.0,13.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1314.34390934496,24.350393723182158,636.8439805255772,6.432767480056335,6.368439805255771,87.57230870898277,0.0,0.01
16,2.0,13.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1332.26153558784,24.286066048135773,630.4755407203214,6.368439805255771,6.304755407203213,93.94074851423855,0.0,0.01
17,2.0,13.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1350.17916183072,24.222381650083214,624.1707853131182,6.304755407203213,6.241707853131181,100.24550392144175,0.0,0.01
18,2.0,14.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1387.92696090048,37.74779906976,645.4038218734382,624.1707853131182,645.4038218734382,100.24550392144175,782.53508852064,0.01
19,2.0,14.0,addDataRequester,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1450.13459321952,68.66167053777438,638.9497836547039,6.454038218734381,6.389497836547037,106.69954214017615,0.0,0.01
20,2.0,14.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1468.0522194624,24.30712407967286,632.5602858181568,6.389497836547037,6.3256028581815675,113.08903997672319,0.0,0.01
21,2.0,14.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1485.96984570528,24.243229101307392,626.2346829599752,6.3256028581815675,6.262346829599752,119.41464283490474,0.0,0.01
22,2.0,14.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1503.88747194816,24.179973072725577,619.9723361303755,6.262346829599752,6.199723361303755,125.6769896645045,0.0,0.01
23,2.0,14.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1521.80509819104,24.117349604183755,613.7726127690718,6.199723361303755,6.1377261276907165,131.87671302580827,0.0,0.01
