,scenario,period,action,byAddress,accountNumber,type,contractNumber,totalCost,transactionCost,contractCost,currentExpectedCost,nextExpectedCost,ProviderEarnings,providerCost,fraction,Cost,Cost type
22,1.0,15.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1506.4945911849593,16.719426622325823,754.7707208246401,0.0,0.0,0.0,824.6284158902401,0.05,16.719426622325823,Base cost
23,1.0,15.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1523.2140178070392,16.719426622325823,754.7707208246401,0.0,0.0,0.0,824.6284158902401,0.05,16.719426622325823,Base cost
24,1.0,15.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1539.9334444291192,16.719426622325823,754.7707208246401,0.0,0.0,0.0,824.6284158902401,0.05,16.719426622325823,Base cost
25,1.0,15.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1556.652871051199,16.719426622325823,754.7707208246401,0.0,0.0,0.0,824.6284158902401,0.05,16.719426622325823,Base cost
26,1.0,16.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1594.781819953919,38.12894890272,776.47858801344,754.7707208246401,776.47858801344,0.0,862.7573647929602,0.05,38.12894890272,Base cost
27,1.0,16.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1611.501246575999,16.719426622325823,776.47858801344,0.0,0.0,0.0,862.7573647929602,0.05,16.719426622325823,Base cost
28,1.0,17.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1642.168730217599,30.6674836416,790.84709630784,776.47858801344,790.84709630784,0.0,893.4248484345602,0.05,30.6674836416,Base cost
29,1.0,17.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1658.888156839679,16.719426622325823,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.719426622325823,Base cost
30,1.0,17.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1675.6075834617588,16.719426622325823,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.719426622325823,Base cost
31,1.0,17.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1692.3270100838388,16.719426622325823,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.719426622325823,Base cost
32,1.0,18.0,addDataRequester,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,1753.3363191926387,61.0093091088,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,61.0093091088,Base cost
33,1.0,18.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1770.0557458147186,16.719426622325823,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.719426622325823,Base cost
34,1.0,19.0,addDataRequester,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,1831.0650549235183,61.0093091088,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,61.0093091088,Base cost
35,1.0,19.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1847.7844815455985,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
36,1.0,19.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1864.5039081676784,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
37,1.0,20.0,addDataRequester,0x5F180b2f4750258566513c63381F04105bAAceeD,11.0,requester,0.0,1925.5132172764784,61.0093091088,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,61.0093091088,Base cost
38,1.0,20.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1942.2326438985583,16.719426622325823,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.719426622325823,Base cost
39,1.0,20.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1958.9520705206385,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
40,1.0,20.0,renewToken,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,1975.6714971427184,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
41,1.0,21.0,addDataRequester,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,2036.680806251518,61.0093091088,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,61.0093091088,Base cost
42,1.0,21.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,2053.4002328735983,16.719426622325823,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.719426622325823,Base cost
43,1.0,21.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,2070.119659495678,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
44,1.0,21.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,2086.839086117758,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
45,1.0,22.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,2103.558512739838,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
46,1.0,22.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,2120.277939361918,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
47,1.0,22.0,renewToken,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,2136.997365983998,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
48,1.0,23.0,addDataRequester,0x38643b8d4A129c011F71B934f213582F19aFA04D,13.0,requester,0.0,2198.006675092798,61.0093091088,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,61.0093091088,Base cost
49,1.0,23.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,2214.726101714878,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
50,1.0,23.0,renewToken,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,2231.445528336958,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
51,1.0,24.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,2248.164954959038,16.719426622325823,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.719426622325823,Base cost
52,1.0,24.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,2264.884381581118,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
53,1.0,24.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,2281.603808203198,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
54,1.0,24.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,2298.3232348252777,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
55,1.0,25.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,2315.0426614473577,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
56,1.0,25.0,renewToken,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,2331.7620880694376,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
57,1.0,25.0,renewToken,0x38643b8d4A129c011F71B934f213582F19aFA04D,13.0,requester,0.0,2348.481514691517,16.71942662208,790.84709630784,0.0,0.0,0.0,893.4248484345602,0.05,16.71942662208,Base cost
58,1.0,26.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2402.4087781199974,53.92726342848,821.7456922022401,790.84709630784,821.7456922022401,0.0,947.3521118630402,0.05,53.92726342848,Base cost
59,1.0,26.0,addDataRequester,0xce4af93d4BA5CED45f3ec13c41000a6a00D67F6F,14.0,requester,0.0,2463.418087228797,61.0093091088,821.7456922022401,0.0,0.0,0.0,947.3521118630402,0.05,61.0093091088,Base cost
60,1.0,26.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,2480.137513850877,16.719426622325823,821.7456922022401,0.0,0.0,0.0,947.3521118630402,0.05,16.719426622325823,Base cost
61,1.0,27.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2517.0283437436774,36.8908298928,842.21840652768,821.7456922022401,842.21840652768,0.0,984.2429417558402,0.05,36.8908298928,Base cost
62,1.0,27.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,2533.7477703657573,16.719426622325823,842.21840652768,0.0,0.0,0.0,984.2429417558402,0.05,16.719426622325823,Base cost
63,1.0,27.0,renewToken,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,2550.4671969878373,16.719426622325823,842.21840652768,0.0,0.0,0.0,984.2429417558402,0.05,16.719426622325823,Base cost
64,1.0,28.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,2567.186623609917,16.719426622325823,842.21840652768,0.0,0.0,0.0,984.2429417558402,0.05,16.719426622325823,Base cost
65,1.0,28.0,renewToken,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,2583.906050231997,16.719426622325823,842.21840652768,0.0,0.0,0.0,984.2429417558402,0.05,16.719426622325823,Base cost
66,1.0,28.0,renewToken,0x38643b8d4A129c011F71B934f213582F19aFA04D,13.0,requester,0.0,2600.625476854077,16.719426622325823,842.21840652768,0.0,0.0,0.0,984.2429417558402,0.05,16.719426622325823,Base cost
67,1.0,29.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2638.8149845823973,38.18950772832,864.02267347968,842.21840652768,864.02267347968,0.0,1022.4324494841602,0.05,38.18950772832,Base cost
68,1.0,29.0,renewToken,0xce4af93d4BA5CED45f3ec13c41000a6a00D67F6F,14.0,requester,0.0,2655.534411204477,16.719426622325823,864.02267347968,0.0,0.0,0.0,1022.4324494841602,0.05,16.719426622325823,Base cost
69,1.0,30.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2690.937718597437,35.40330739296,882.5037439795201,864.02267347968,882.5037439795201,0.0,1057.8357568771205,0.05,35.40330739296,Base cost
70,1.0,30.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,2707.657145219517,16.719426622325823,882.5037439795201,0.0,0.0,0.0,1057.8357568771205,0.05,16.719426622325823,Base cost
71,1.0,30.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,2724.376571841597,16.719426622325823,882.5037439795201,0.0,0.0,0.0,1057.8357568771205,0.05,16.719426622325823,Base cost
72,1.0,30.0,renewToken,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,2741.095998463677,16.719426622325823,882.5037439795201,0.0,0.0,0.0,1057.8357568771205,0.05,16.719426622325823,Base cost
73,1.0,30.0,renewToken,0x38643b8d4A129c011F71B934f213582F19aFA04D,13.0,requester,0.0,2757.815425085757,16.719426622325823,882.5037439795201,0.0,0.0,0.0,1057.8357568771205,0.05,16.719426622325823,Base cost
74,1.0,31.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2794.309038518397,36.49361343264,902.5928366832,882.5037439795201,902.5928366832,0.0,1094.3293703097602,0.05,36.49361343264,Base cost
75,1.0,31.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,2811.028465140477,16.719426622325823,902.5928366832,0.0,0.0,0.0,1094.3293703097602,0.05,16.719426622325823,Base cost
76,1.0,31.0,renewToken,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,2827.7478917625567,16.719426622325823,902.5928366832,0.0,0.0,0.0,1094.3293703097602,0.05,16.719426622325823,Base cost
77,1.0,31.0,renewToken,0xce4af93d4BA5CED45f3ec13c41000a6a00D67F6F,14.0,requester,0.0,2844.4673183846367,16.719426622325823,902.5928366832,0.0,0.0,0.0,1094.3293703097602,0.05,16.719426622325823,Base cost
78,1.0,32.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,2861.1867450067166,16.719426622325823,902.5928366832,0.0,0.0,0.0,1094.3293703097602,0.05,16.719426622325823,Base cost
79,1.0,32.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,2877.9061716287965,16.719426622325823,902.5928366832,0.0,0.0,0.0,1094.3293703097602,0.05,16.719426622325823,Base cost
80,1.0,33.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,2894.6255982508765,16.719426622325823,902.5928366832,0.0,0.0,0.0,1094.3293703097602,0.05,16.719426622325823,Base cost
81,1.0,34.0,addDataRequester,0xeA9C047468d4ee0c806F364150c7b1d709FfE2A1,15.0,requester,0.0,2955.6349073596766,61.0093091088,902.5928366832,0.0,0.0,0.0,1094.3293703097602,0.05,61.0093091088,Base cost
82,1.0,34.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,2972.354333981757,16.719426622325823,902.5928366832,0.0,0.0,0.0,1094.3293703097602,0.05,16.719426622325823,Base cost
83,1.0,35.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,3015.8647378703968,43.51040388864,927.57174558048,902.5928366832,927.57174558048,0.0,1137.8397741984002,0.05,43.51040388864,Base cost
84,1.0,35.0,addDataRequester,0x41080cec6c42Df6f25C59605Ee2a0a4AA252BE90,16.0,requester,0.0,3076.874046979197,61.0093091088,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,61.0093091088,Base cost
85,1.0,35.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,3093.593473601277,16.719426622325823,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.719426622325823,Base cost
86,1.0,35.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,3110.312900223357,16.719426622325823,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.719426622325823,Base cost
87,1.0,35.0,renewToken,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,3127.0323268454367,16.719426622325823,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.719426622325823,Base cost
88,1.0,35.0,renewToken,0x38643b8d4A129c011F71B934f213582F19aFA04D,13.0,requester,0.0,3143.7517534675167,16.719426622325823,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.719426622325823,Base cost
89,1.0,35.0,renewToken,0xce4af93d4BA5CED45f3ec13c41000a6a00D67F6F,14.0,requester,0.0,3160.4711800895966,16.719426622325823,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.719426622325823,Base cost
90,1.0,35.0,renewToken,0x41080cec6c42Df6f25C59605Ee2a0a4AA252BE90,16.0,requester,0.0,3177.1906067116765,16.71942662208,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.71942662208,Base cost
91,1.0,36.0,renewToken,0xeA9C047468d4ee0c806F364150c7b1d709FfE2A1,15.0,requester,0.0,3193.9100333337565,16.719426622325823,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.719426622325823,Base cost
92,1.0,37.0,addDataRequester,0x8F790E28279F916aBF4c2cf66814b78DAb341D3c,17.0,requester,0.0,3254.9193424425566,61.0093091088,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,61.0093091088,Base cost
93,1.0,37.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,3271.638769064637,16.719426622325823,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.719426622325823,Base cost
94,1.0,37.0,renewToken,0xce4af93d4BA5CED45f3ec13c41000a6a00D67F6F,14.0,requester,0.0,3288.3581956867165,16.71942662208,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.71942662208,Base cost
95,1.0,38.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,3305.0776223087964,16.719426622325823,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.719426622325823,Base cost
96,1.0,38.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,3321.7970489308764,16.719426622325823,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.719426622325823,Base cost
97,1.0,38.0,renewToken,0x41080cec6c42Df6f25C59605Ee2a0a4AA252BE90,16.0,requester,0.0,3338.5164755529563,16.71942662208,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.71942662208,Base cost
98,1.0,38.0,renewToken,0x8F790E28279F916aBF4c2cf66814b78DAb341D3c,17.0,requester,0.0,3355.235902175036,16.71942662208,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.71942662208,Base cost
99,1.0,39.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,3371.955328797116,16.719426622325823,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.719426622325823,Base cost
100,1.0,39.0,renewToken,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,3388.674755419196,16.71942662208,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.71942662208,Base cost
101,1.0,39.0,renewToken,0xce4af93d4BA5CED45f3ec13c41000a6a00D67F6F,14.0,requester,0.0,3405.394182041276,16.71942662208,927.57174558048,0.0,0.0,0.0,1137.8397741984002,0.05,16.71942662208,Base cost
102,1.0,40.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,3461.674959175676,56.2807771344,966.7524406176,927.57174558048,966.7524406176,0.0,1194.1205513328002,0.05,56.2807771344,Base cost
103,1.0,40.0,addDataRequester,0xDa6AaEBc5e56DCa69db4e6394048d0aEC37a8515,18.0,requester,0.0,3522.6842682844763,61.0093091088,966.7524406176,0.0,0.0,0.0,1194.1205513328002,0.05,61.0093091088,Base cost
104,1.0,40.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,3539.403694906556,16.719426622325823,966.7524406176,0.0,0.0,0.0,1194.1205513328002,0.05,16.719426622325823,Base cost
105,1.0,40.0,renewToken,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,3556.123121528636,16.719426622325823,966.7524406176,0.0,0.0,0.0,1194.1205513328002,0.05,16.719426622325823,Base cost
106,1.0,40.0,renewToken,0x5F180b2f4750258566513c63381F04105bAAceeD,11.0,requester,0.0,3572.842548150716,16.719426622325823,966.7524406176,0.0,0.0,0.0,1194.1205513328002,0.05,16.719426622325823,Base cost
107,1.0,40.0,renewToken,0xeA9C047468d4ee0c806F364150c7b1d709FfE2A1,15.0,requester,0.0,3589.561974772796,16.719426622325823,966.7524406176,0.0,0.0,0.0,1194.1205513328002,0.05,16.719426622325823,Base cost
108,1.0,41.0,renewToken,0xce4af93d4BA5CED45f3ec13c41000a6a00D67F6F,14.0,requester,0.0,3606.281401394876,16.719426622325823,966.7524406176,0.0,0.0,0.0,1194.1205513328002,0.05,16.719426622325823,Base cost
109,1.0,41.0,renewToken,0x8F790E28279F916aBF4c2cf66814b78DAb341D3c,17.0,requester,0.0,3623.000828016956,16.719426622325823,966.7524406176,0.0,0.0,0.0,1194.1205513328002,0.05,16.719426622325823,Base cost
110,1.0,41.0,renewToken,0xDa6AaEBc5e56DCa69db4e6394048d0aEC37a8515,18.0,requester,0.0,3639.720254639036,16.71942662208,966.7524406176,0.0,0.0,0.0,1194.1205513328002,0.05,16.71942662208,Base cost
111,1.0,42.0,addDataRequester,0x4E00241E4e362F7060DfbbE063694B2945FD8Daf,19.0,requester,0.0,3700.729563747836,61.0093091088,966.7524406176,0.0,0.0,0.0,1194.1205513328002,0.05,61.0093091088,Base cost
112,1.0,42.0,renewToken,0xeA9C047468d4ee0c806F364150c7b1d709FfE2A1,15.0,requester,0.0,3717.448990369916,16.71942662208,966.7524406176,0.0,0.0,0.0,1194.1205513328002,0.05,16.71942662208,Base cost
113,1.0,43.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,3765.370795729916,47.92180535999999,996.73944080256,966.7524406176,996.73944080256,0.0,1242.0423566928002,0.05,47.92180535999999,Base cost
114,1.0,43.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,3782.090222351996,16.719426622325823,996.73944080256,0.0,0.0,0.0,1242.0423566928002,0.05,16.719426622325823,Base cost
115,1.0,44.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,3798.809648974076,16.719426622325823,996.73944080256,0.0,0.0,0.0,1242.0423566928002,0.05,16.719426622325823,Base cost
