,scenario,period,action,byAddress,accountNumber,type,contractNumber,totalCost,transactionCost,contractCost,currentExpectedCost,nextExpectedCost,ProviderEarnings,providerCost,fraction
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1,2.0,0.0,deploy and publish,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,723.23662802976,708.5870773488,705.48831931968,0.0,705.48831931968,0.0,705.48831931968,0.5
2,2.0,2.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,747.7299540172801,24.49332598752,713.54536209216,705.48831931968,713.54536209216,0.0,729.9816453072001,0.5
3,2.0,6.0,addDataRequester,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,818.7867138297601,427.82944085855996,356.77268104608,356.77268104608,178.38634052304,356.77268104608,0.0,0.5
4,2.0,8.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,841.4886108844801,22.70189705472,363.07450659167995,356.77268104608,363.07450659167995,356.77268104608,752.6835423619201,0.5
5,2.0,8.0,addDataRequester,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,903.6962432035201,243.74488561488,181.53725329583997,181.53725329583997,90.76862664791999,538.30993434192,0.0,0.5
6,2.0,11.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,931.7855275372801,28.08928433376,193.11474126672002,181.53725329583997,193.11474126672002,538.30993434192,780.7728266956801,0.5
7,2.0,11.0,addDataRequester,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,993.9931598563202,158.7650029524,96.55737063336001,96.55737063336001,48.278685316680004,634.8673049752799,0.0,0.5
8,2.0,13.0,addDataRequester,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1056.2007921753602,110.48631763572001,48.278685316680004,48.278685316680004,24.139342658340002,683.14599029196,0.0,0.5
9,2.0,13.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1074.1184184182403,42.05696890146582,24.139342658340002,24.139342658340002,12.069671329170001,707.2853329503,0.0,0.5
10,2.0,13.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1092.0360446611203,29.987297572050004,12.069671329170001,12.069671329170001,6.0348356645850005,719.35500427947,0.0,0.5
11,2.0,14.0,addDataRequester,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1154.2436769801602,68.242467983625,6.0348356645850005,6.0348356645850005,3.0174178322925003,725.389839944055,0.0,0.5
12,2.0,14.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1172.1613032230402,20.935044075418325,3.0174178322925003,3.0174178322925003,1.5087089161462501,728.4072577763475,0.0,0.5
13,2.0,15.0,addDataRequester,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1234.3689355420802,63.71634123518625,1.5087089161462501,1.5087089161462501,0.7543544580731251,729.9159666924937,0.0,0.5
14,2.0,16.0,addDataRequester,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1296.57656786112,62.961986777113125,0.7543544580731251,0.7543544580731251,0.37717722903656253,730.6703211505669,0.0,0.5
15,2.0,16.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1314.4941941040001,18.294803471916563,0.37717722903656253,0.37717722903656253,0.18858861451828127,731.0474983796034,0.0,0.5
16,2.0,16.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1332.4118203468802,18.10621485739828,0.18858861451828127,0.18858861451828127,0.09429430725914063,731.2360869941217,0.0,0.5
17,2.0,16.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1350.3294465897602,18.01192055013914,0.09429430725914063,0.09429430725914063,0.047147153629569456,731.3303813013808,0.0,0.5
18,2.0,16.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1368.2470728326402,17.96477339650957,0.04714715362957117,0.047147153629569456,0.023573576814784728,731.3775284550104,0.0,0.5
19,2.0,19.0,addDataRequester,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1430.4547051516802,62.231205895854785,0.023573576814786442,0.023573576814784728,0.011786788407392364,731.4011020318252,0.0,0.5
20,2.0,19.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1448.3723313945602,17.929413031287392,0.01178678840739408,0.011786788407392364,0.00589339420369704,731.4128888202326,0.0,0.5
21,2.0,19.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1466.2899576374402,17.923519637083697,0.00589339420369704,0.00589339420369704,0.002946697101847662,731.4187822144363,0.0,0.5
22,2.0,19.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1484.2075838803203,17.92057293998185,0.002946697101849378,0.002946697101847662,0.001473348550923831,731.4217289115381,0.0,0.5
23,2.0,20.0,addDataRequester,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,1546.4152161993602,62.209105667590926,0.0014733485509255473,0.001473348550923831,0.0007366742754619155,731.423202260089,0.0,0.5
24,2.0,20.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1564.3328424422402,17.918362917155463,0.0007366742754636319,0.0007366742754619155,0.00036833713773095776,731.4239389343645,0.0,0.5
25,2.0,20.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1582.2504686851203,17.91799458001773,0.0003683371377326742,0.00036833713773095776,0.0001841685688663371,731.4243072715022,0.0,0.5
26,2.0,20.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1600.1680949280003,17.917810411448865,0.0001841685688663371,0.0001841685688663371,9.208428443316855e-05,731.4244914400712,0.0,0.5
27,2.0,21.0,addDataRequester,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,1662.3757272470402,62.207724403324434,9.208428443316855e-05,9.208428443316855e-05,4.604214221658428e-05,731.4245835243555,0.0,0.5
28,2.0,21.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1680.2933534899203,17.917672285022217,4.604214221658428e-05,4.604214221658428e-05,2.302107110743388e-05,731.4246295664979,0.0,0.5
29,2.0,22.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1698.2109797328003,17.91764926395111,2.30210711091504e-05,2.302107110743388e-05,1.15105355545752e-05,731.4246525875689,0.0,0.5
30,2.0,23.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1743.8163482188802,45.605368486079996,25.27492862715111,2.30210711091504e-05,25.27492862715111,731.4246525875689,826.3781951817601,0.5
31,2.0,23.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1761.7339744617602,30.555090556701376,12.637464313575554,12.637464313575554,6.318732156787777,744.0621169011443,0.0,0.5
32,2.0,23.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1779.6516007046403,24.236358399913602,6.318732156787777,6.318732156787777,3.1593660783938886,750.3808490579322,0.0,0.5
33,2.0,23.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1797.5692269475203,21.07699232151971,3.1593660783938886,3.1593660783938886,1.5796830391969434,753.5402151363261,0.0,0.5
34,2.0,23.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1815.4868531904003,19.497309282322767,1.5796830391969452,1.5796830391969434,0.7898415195984726,755.1198981755231,0.0,0.5
35,2.0,23.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,1833.4044794332804,18.707467762724296,0.7898415195984726,0.7898415195984726,0.3949207597992363,755.9097396951215,0.0,0.5
36,2.0,23.0,renewToken,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,1851.3221056761604,18.31254700292506,0.3949207597992363,0.3949207597992363,0.19746037989961815,756.3046604549207,0.0,0.5
37,2.0,24.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1890.8453906409604,39.5232849648,20.486979610039235,0.3949207597992363,20.486979610039235,756.3046604549207,865.9014801465602,0.5
38,2.0,24.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1908.7630168838405,28.16111604814544,10.243489805019617,10.243489805019617,5.121744902509809,766.5481502599404,0.0,0.5
39,2.0,24.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1926.6806431267205,23.03937114563563,5.121744902509809,5.121744902509809,2.5608724512549044,771.6698951624502,0.0,0.5
40,2.0,25.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1960.9983408787205,34.317697752,22.884513577069807,5.121744902509809,22.884513577069807,771.6698951624502,900.2191778985601,0.5
41,2.0,25.0,addDataRequester,0x5F180b2f4750258566513c63381F04105bAAceeD,11.0,requester,0.0,2023.2059731977604,73.64988910757491,11.442256788534904,11.442256788534904,5.721128394267452,783.1121519509851,0.0,0.5
42,2.0,25.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,2041.1235994406404,23.638754637393276,5.721128394267452,5.721128394267452,2.8605641971337255,788.8332803452525,0.0,0.5
43,2.0,25.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,2059.04122568352,20.77819044025955,2.860564197133727,2.8605641971337255,1.4302820985668634,791.6938445423863,0.0,0.5
44,2.0,26.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,2076.9588519264003,19.347908341692687,1.4302820985668634,1.4302820985668634,0.7151410492834317,793.1241266409531,0.0,0.5
45,2.0,26.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,2094.8764781692803,18.632767292409255,0.7151410492834317,0.7151410492834317,0.357570524641715,793.8392676902366,0.0,0.5
46,2.0,26.0,renewToken,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,2112.7941044121603,18.27519676776754,0.35757052464171674,0.357570524641715,0.17878526232085837,794.1968382148783,0.0,0.5
47,2.0,27.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,2130.7117306550404,18.09641150544668,0.17878526232085837,0.17878526232085837,0.08939263116042918,794.375623477199,0.0,0.5
