,scenario,period,action,byAddress,accountNumber,type,contractNumber,totalCost,transactionCost,contractCost,currentExpectedCost,nextExpectedCost,ProviderEarnings,providerCost,fraction
1,3.0,0.0,deploy and publish,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1428.72494734944,708.5870773488,1410.97663863936,0.0,1410.97663863936,0.0,1410.97663863936,0.1
2,3.0,1.0,addDataRequester,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1499.7817071619202,212.154423676416,1269.878974775424,141.097663863936,126.98789747754239,141.097663863936,0.0,0.1
3,3.0,5.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1521.12819882816,21.34649166624,1279.896887602944,1269.878974775424,1279.896887602944,141.097663863936,1432.3231303056,0.1
4,3.0,6.0,addDataRequester,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1583.3358311472,190.19732107933442,1151.9071988426497,127.9896887602944,115.19071988426496,269.0873526242304,0.0,0.1
5,3.0,8.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1608.12960306336,24.79377191616,1168.6827350704896,1151.9071988426497,1168.6827350704896,269.0873526242304,1457.11690222176,0.1
6,3.0,8.0,addDataRequester,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1670.3372353824,179.07590582608896,1051.8144615634408,116.86827350704895,105.18144615634407,385.95562613127936,0.0,0.1
7,3.0,9.0,addDataRequester,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1732.54486770144,167.38907847538405,946.6330154070965,105.18144615634407,94.66330154070965,491.13707228762337,0.0,0.1
8,3.0,10.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1758.13109510688,25.58622740544,965.1422642992566,946.6330154070965,965.1422642992566,491.13707228762337,1482.7031296272,0.1
9,3.0,10.0,addDataRequester,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1820.3387274259198,158.72185874896564,868.6280378693309,96.51422642992566,86.86280378693309,587.651298717549,0.0,0.1
10,3.0,10.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1838.2563536687999,104.78043003005891,781.7652340823978,86.86280378693309,78.17652340823979,674.5141025044821,0.0,0.1
11,3.0,11.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1856.17397991168,96.09414965136561,703.588710674158,78.17652340823979,70.3588710674158,752.690625912722,0.0,0.1
12,3.0,12.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1874.09160615456,88.27649731054163,633.2298396067422,70.3588710674158,63.32298396067422,823.0494969801377,0.0,0.1
13,3.0,12.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1892.00923239744,81.24061020355423,569.9068556460679,63.32298396067422,56.9906855646068,886.372480940812,0.0,0.1
14,3.0,14.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1909.92685864032,74.90831180773262,512.9161700814612,56.9906855646068,51.291617008146126,943.3631665054188,0.0,0.1
15,3.0,14.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1927.8444848832,69.20924325102612,461.6245530733151,51.291617008146126,46.162455307331506,994.6547835135649,0.0,0.1
16,3.0,15.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1945.76211112608,64.0800815502115,415.4620977659836,46.162455307331506,41.54620977659835,1040.8172388208964,0.0,0.1
17,3.0,15.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1963.67973736896,59.46383601947835,373.9158879893852,41.54620977659835,37.39158879893852,1082.3634485974949,0.0,0.1
18,3.0,16.0,addDataRequester,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,2025.887369688,99.59922111797852,336.5242991904467,37.39158879893852,33.65242991904467,1119.7550373964332,0.0,0.1
19,3.0,16.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,2043.80499593088,51.57005616192467,302.87186927140203,33.65242991904467,30.287186927140205,1153.407467315478,0.0,0.1
20,3.0,17.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2080.27895864256,36.47396271168,342.85898540452206,302.87186927140203,342.85898540452206,1153.407467315478,1519.1770923388801,0.1
21,3.0,17.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,2098.19658488544,52.20352478357802,308.57308686406986,34.2858985404522,30.85730868640698,1187.69336585593,0.0,0.1
22,3.0,17.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,2116.11421112832,48.774934929532805,277.71577817766286,30.85730868640698,27.771577817766286,1218.5506745423372,0.0,0.1
23,3.0,18.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2145.31641836928,29.20220724096,302.20873339686284,277.71577817766286,302.20873339686284,1218.5506745423372,1548.37929957984,0.1
24,3.0,18.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,2163.2340446121602,48.1384995828121,271.9878600571766,30.220873339686282,27.198786005717658,1248.7715478820235,0.0,0.1
25,3.0,19.0,addDataRequester,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,2225.4416769312,89.40641832475765,244.78907405145893,27.198786005717658,24.47890740514589,1275.970333887741,0.0,0.1
26,3.0,20.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2253.60968773824,28.168010807039998,268.4411267208989,244.78907405145893,268.4411267208989,1275.970333887741,1576.54731038688,0.1
27,3.0,21.0,addDataRequester,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,2315.81732005728,89.0517449911299,241.59701404880903,26.84411267208989,24.159701404880902,1302.814446559831,0.0,0.1
28,3.0,21.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,2333.73494630016,42.0773276477609,217.43731264392812,24.159701404880902,21.74373126439281,1326.9741479647118,0.0,0.1
29,3.0,22.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,2351.65257254304,39.66135750751863,195.69358137953532,21.74373126439281,19.56935813795353,1348.7178792291047,0.0,0.1
30,3.0,22.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,2369.57019878592,37.48698438083353,176.12422324158177,19.56935813795353,17.612422324158178,1368.2872373670582,0.0,0.1
31,3.0,22.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,2387.4878250288,35.530048567284,158.51180091742359,17.612422324158178,15.851180091742359,1385.8996596912164,0.0,0.1
32,3.0,23.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,2405.4054512716802,33.76880633462236,142.66062082568124,15.851180091742359,14.266062082568125,1401.7508397829588,0.0,0.1
33,3.0,25.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2445.18827406048,39.7828227888,189.18487679816124,142.66062082568124,189.18487679816124,1401.7508397829588,1616.3301331756802,0.1
34,3.0,25.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,2463.10590030336,36.83611392294195,170.2663891183451,18.918487679816124,17.02663891183451,1420.6693274627748,0.0,0.1
35,3.0,25.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,2481.02352654624,34.944265154960334,153.2397502065106,17.02663891183451,15.323975020651059,1437.6959663746095,0.0,0.1
36,3.0,25.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,2498.94115278912,33.24160126377688,137.91577518585953,15.323975020651059,13.791577518585953,1453.0199413952603,0.0,0.1
37,3.0,27.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2531.90307438432,32.961921595199996,167.87830466169953,137.91577518585953,167.87830466169953,1453.0199413952603,1649.2920547708802,0.1
38,3.0,27.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,2549.8207006272,34.705456709295774,151.0904741955296,16.787830466169954,15.109047419552958,1469.8077718614304,0.0,0.1
39,3.0,29.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,2567.73832687008,33.026673662678775,135.98142677597664,15.109047419552958,13.598142677597663,1484.9168192809832,0.0,0.1
40,3.0,29.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,2585.65595311296,31.515768920723485,122.38328409837898,13.598142677597663,12.238328409837896,1498.5149619585811,0.0,0.1
41,3.0,30.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,2603.57357935584,30.155954652963718,110.14495568854107,12.238328409837896,11.014495568854109,1510.753290368419,0.0,0.1
42,3.0,30.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,2621.49120559872,28.932121811979933,99.13046011968697,11.014495568854109,9.913046011968698,1521.767785937273,0.0,0.1
43,3.0,30.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,2639.4088318416,27.830672255094523,89.21741410771827,9.913046011968698,8.921741410771826,1531.6808319492418,0.0,0.1
44,3.0,32.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2677.5540945504004,38.1452627088,132.6331484853183,89.21741410771827,132.6331484853183,1531.6808319492418,1687.4373174796801,0.1
45,3.0,32.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,2695.4717207932804,31.18094109165765,119.36983363678644,13.263314848531827,11.936983363678644,1544.9441467977736,0.0,0.1
46,3.0,33.0,addDataRequester,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,2757.6793531123203,74.14461568271865,107.4328502731078,11.936983363678644,10.74328502731078,1556.8811301614521,0.0,0.1
47,3.0,33.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,2775.5969793552003,28.660911270436603,96.68956524579701,10.74328502731078,9.668956524579702,1567.6244151887631,0.0,0.1
48,3.0,33.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,2793.5146055980804,27.586582767705526,87.02060872121731,9.668956524579702,8.70206087212173,1577.2933717133426,0.0,0.1
49,3.0,35.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2826.3130183641606,32.79841276608,119.87958031289732,87.02060872121731,119.87958031289732,1577.2933717133426,1720.2357302457601,0.1
50,3.0,35.0,addDataRequester,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,2888.5206506832005,74.19559035032974,107.8916222816076,11.98795803128973,10.789162228160757,1589.2813297446323,0.0,0.1
51,3.0,35.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,2906.4382769260806,28.706788471286583,97.10246005344683,10.789162228160757,9.71024600534468,1600.0704919727932,0.0,0.1
52,3.0,35.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,2924.3559031689606,27.627872248470506,87.39221404810215,9.71024600534468,8.739221404810214,1609.780737978138,0.0,0.1
