,scenario,period,action,byAddress,accountNumber,type,contractNumber,totalCost,transactionCost,contractCost,currentExpectedCost,nextExpectedCost,ProviderEarnings,providerCost,fraction
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
1,2.0,0.0,deploy and publish,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,730.80178483104,708.5870773488,713.05347612096,0.0,713.05347612096,0.0,713.05347612096,0.01
2,2.0,2.0,addDataRequester,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,801.85854464352,78.1872945736896,705.9229413597503,7.130534761209599,7.059229413597504,7.130534761209599,0.0,0.01
3,2.0,5.0,addDataRequester,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,864.06617696256,69.26686173263751,698.8637119461529,7.059229413597504,6.988637119461529,14.189764174807104,0.0,0.01
4,2.0,7.0,addDataRequester,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,926.2738092816,69.19626943850153,691.8750748266914,6.988637119461529,6.918750748266914,21.17840129426863,0.0,0.01
5,2.0,8.0,addDataRequester,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,988.4814416006401,69.12638306730692,684.9563240784245,6.918750748266914,6.849563240784243,28.097152042535544,0.0,0.01
6,2.0,8.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1006.3990678435201,24.767189483664243,678.1067608376402,6.849563240784243,6.781067608376402,34.94671528331979,0.0,0.01
7,2.0,9.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1024.3166940864,24.6986938512564,671.3256932292638,6.781067608376402,6.713256932292637,41.727782891696194,0.0,0.01
8,2.0,10.0,addDataRequester,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1086.52432640544,68.92088925133264,664.6124362969712,6.713256932292637,6.646124362969711,48.44103982398883,0.0,0.01
9,2.0,11.0,addDataRequester,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1148.73195872448,68.85375668200972,657.9663119340015,6.646124362969711,6.5796631193400135,55.08716418695853,0.0,0.01
10,2.0,11.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1166.64958496736,24.497289362220016,651.3866488146614,6.5796631193400135,6.513866488146614,61.66682730629855,0.0,0.01
11,2.0,11.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1184.56721121024,24.431492731026616,644.8727823265148,6.513866488146614,6.4487278232651475,68.18069379444516,0.0,0.01
12,2.0,11.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1202.48483745312,24.36635406614515,638.4240545032496,6.4487278232651475,6.384240545032496,74.62942161771032,0.0,0.01
13,2.0,12.0,addDataRequester,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1264.69246977216,68.5918728640725,632.0398139582172,6.384240545032496,6.320398139582172,81.0136621627428,0.0,0.01
14,2.0,12.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1282.61009601504,24.23802438246217,625.719415818635,6.320398139582172,6.25719415818635,87.33406030232497,0.0,0.01
15,2.0,12.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1300.52772225792,24.174820401066352,619.4622216604487,6.25719415818635,6.194622216604486,93.59125446051134,0.0,0.01
16,2.0,14.0,addDataRequester,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1362.73535457696,68.40225453564449,613.2675994438441,6.194622216604486,6.13267599443844,99.78587667711582,0.0,0.01
17,2.0,14.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1380.65298081984,24.05030223731844,607.1349234494057,6.13267599443844,6.071349234494056,105.91855267155427,0.0,0.01
18,2.0,14.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1398.57060706272,23.988975477374055,601.0635742149117,6.071349234494056,6.010635742149116,111.9899019060483,0.0,0.01
19,2.0,15.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1416.4882333056,23.928261985029117,595.0529384727625,6.010635742149116,5.950529384727625,118.00053764819744,0.0,0.01
20,2.0,15.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1434.40585954848,23.868155627607628,589.102409088035,5.950529384727625,5.891024090880349,123.95106703292507,0.0,0.01
21,2.0,15.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1452.32348579136,23.80865033376035,583.2113849971546,5.891024090880349,5.832113849971545,129.8420911238054,0.0,0.01
22,2.0,16.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1470.2411120342401,23.749740092851546,577.3792711471831,5.832113849971545,5.77379271147183,135.67420497377697,0.0,0.01
23,2.0,17.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1488.1587382771202,23.691418954351832,571.6054784357112,5.77379271147183,5.7160547843571115,141.4479976852488,0.0,0.01
24,2.0,18.0,addDataRequester,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,1550.36637059616,67.92368710339711,565.889423651354,5.7160547843571115,5.65889423651354,147.1640524696059,0.0,0.01
25,2.0,18.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,1568.2839968390401,23.57652047939354,560.2305294148406,5.65889423651354,5.602305294148404,152.82294670611944,0.0,0.01
26,2.0,18.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1586.2016230819202,23.519931537028405,554.6282241206922,5.602305294148404,5.54628224120692,158.42525200026782,0.0,0.01
27,2.0,19.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1630.58642225856,44.38479917664,577.5037643386122,554.6282241206922,577.5037643386122,158.42525200026782,757.4382752976001,0.01
28,2.0,19.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,1648.5040485014401,23.692663886511944,571.7287266952261,5.77503764338612,5.717287266952259,164.20028964365395,0.0,0.01
29,2.0,19.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,1666.4216747443202,23.634913510078082,566.0114394282738,5.717287266952259,5.660114394282737,169.91757691060621,0.0,0.01
30,2.0,19.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,1684.3393009872002,23.57774063740856,560.3513250339911,5.660114394282737,5.60351325033991,175.57769130488896,0.0,0.01
31,2.0,20.0,addDataRequester,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,1746.5469333062401,67.81114556937992,554.7478117836512,5.60351325033991,5.54747811783651,181.18120455522887,0.0,0.01
32,2.0,20.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,1764.4645595491202,23.465104360962332,549.2003336658146,5.54747811783651,5.492003336658145,186.72868267306538,0.0,0.01
33,2.0,20.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,1782.3821857920002,23.40962957978397,543.7083303291565,5.492003336658145,5.437083303291565,192.22068600972352,0.0,0.01
34,2.0,20.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,1800.2998120348802,23.35470954641739,538.2712470258649,5.437083303291565,5.382712470258648,197.65776931301508,0.0,0.01
35,2.0,20.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,1818.2174382777603,23.300338713384473,532.8885345556063,5.382712470258648,5.328885345556062,203.04048178327372,0.0,0.01
36,2.0,21.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,1859.8648549478403,41.64741667008,557.6732844426463,532.8885345556063,557.6732844426463,203.04048178327372,799.0856919676801,0.01
37,2.0,21.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,1877.7824811907203,23.494359087552287,552.0965515982198,5.576732844426461,5.520965515982197,208.6172146277002,0.0,0.01
38,2.0,22.0,addDataRequester,0x5F180b2f4750258566513c63381F04105bAAceeD,11.0,requester,0.0,1939.9901135097602,67.7285978350222,546.5755860822377,5.520965515982197,5.465755860822375,214.13818014368238,0.0,0.01
39,2.0,22.0,renewToken,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,1957.9077397526403,23.383382103702374,541.1098302214152,5.465755860822375,5.4110983022141514,219.60393600450476,0.0,0.01
40,2.0,23.0,addDataRequester,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,2020.1153720716802,67.61873062125416,535.698731919201,5.4110983022141514,5.35698731919201,225.01503430671895,0.0,0.01
41,2.0,24.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2060.9552553408002,40.83988326912,558.8836165054411,535.698731919201,558.8836165054411,225.01503430671895,839.9255752368001,0.01
42,2.0,24.0,addDataRequester,0x38643b8d4A129c011F71B934f213582F19aFA04D,13.0,requester,0.0,2123.16288765984,67.7964684840944,553.2947803403868,5.588836165054409,5.532947803403866,230.60387047177332,0.0,0.01
43,2.0,24.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,2141.08051390272,23.45057404652969,547.7618325369828,5.532947803403866,5.477618325369828,236.13681827517718,0.0,0.01
44,2.0,24.0,renewToken,0x5F180b2f4750258566513c63381F04105bAAceeD,11.0,requester,0.0,2158.9981401456002,23.395244568495652,542.284214211613,5.477618325369828,5.42284214211613,241.614436600547,0.0,0.01
45,2.0,25.0,addDataRequester,0xce4af93d4BA5CED45f3ec13c41000a6a00D67F6F,14.0,requester,0.0,2221.20577246464,67.63047446115613,536.8613720694968,5.42284214211613,5.368613720694968,247.03727874266315,0.0,0.01
46,2.0,25.0,renewToken,0xf12C911960968c187090b52998a3597b35BC2619,5.0,requester,0.0,2239.12339870752,23.28623996382079,531.4927583488019,5.368613720694968,5.314927583488018,252.40589246335813,0.0,0.01
47,2.0,25.0,renewToken,0x6eEA265cd899aE17Cf588744E4C7Fe31e3258E85,9.0,requester,0.0,2257.0410249504002,23.23255382661384,526.177830765314,5.314927583488018,5.261778307653138,257.72082004684614,0.0,0.01
48,2.0,25.0,renewToken,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,2274.9586511932803,23.179404550778962,520.9160524576607,5.261778307653138,5.209160524576608,262.9825983544993,0.0,0.01
49,2.0,26.0,addDataRequester,0xeA9C047468d4ee0c806F364150c7b1d709FfE2A1,15.0,requester,0.0,2337.16628351232,67.4167928436166,515.7068919330842,5.209160524576608,5.15706891933084,268.1917588790759,0.0,0.01
50,2.0,26.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,2355.0839097552002,23.074695162456663,510.54982301375327,5.15706891933084,5.105498230137532,273.3488277984067,0.0,0.01
51,2.0,26.0,renewToken,0x3c93550555cDD5218bB2923008b3Fb4ea6Ee4618,4.0,requester,0.0,2373.0015359980803,23.023124473263355,505.44432478361574,5.105498230137532,5.054443247836157,278.45432602854424,0.0,0.01
52,2.0,26.0,renewToken,0x515f90440fA63377d7451E58B3be334F9393Ad74,7.0,requester,0.0,2390.9191622409603,22.97206949096198,500.3898815357795,5.054443247836157,5.003898815357795,283.5087692763804,0.0,0.01
53,2.0,26.0,renewToken,0x5F180b2f4750258566513c63381F04105bAAceeD,11.0,requester,0.0,2408.8367884838403,22.921525058237798,495.3859827204218,5.003898815357795,4.953859827204218,288.5126680917382,0.0,0.01
54,2.0,27.0,addDataRequester,0x41080cec6c42Df6f25C59605Ee2a0a4AA252BE90,16.0,requester,0.0,2471.0444208028803,67.16149214624421,490.4321228932176,4.953859827204218,4.904321228932174,293.4665279189424,0.0,0.01
55,2.0,27.0,renewToken,0x2aD1e0fAC9d6D523Fb1f21aE1Bc6acA09dD60c7F,3.0,requester,0.0,2488.9620470457603,22.821947472057996,485.52780166428545,4.904321228932174,4.8552780166428535,298.3708491478746,0.0,0.01
56,2.0,27.0,renewToken,0x172bE1ee3f659A83a9C307fafafA51c9F91954Ae,6.0,requester,0.0,2506.8796732886403,22.772904259768676,480.67252364764255,4.8552780166428535,4.806725236476425,303.22612716451744,0.0,0.01
57,2.0,27.0,renewToken,0xE17087878F32b8dAba31B9c7A2c8de6e7DE1478E,10.0,requester,0.0,2524.7972995315204,22.724351479602248,475.8657984111661,4.806725236476425,4.758657984111661,308.0328524009939,0.0,0.01
58,2.0,27.0,renewToken,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,2542.7149257744004,22.676284226991662,471.10714042705445,4.758657984111661,4.711071404270544,312.79151038510554,0.0,0.01
59,2.0,28.0,addDataRequester,0x8F790E28279F916aBF4c2cf66814b78DAb341D3c,17.0,requester,0.0,2604.9225580934403,66.91870372331054,466.39606902278393,4.711071404270544,4.663960690227838,317.5025817893761,0.0,0.01
60,2.0,28.0,renewToken,0x43e196C418b4b7Ebf71ba534042cC8907bd39dc9,2.0,requester,0.0,2622.8401843363204,22.58158693310784,461.7321083325561,4.663960690227838,4.617321083325561,322.16654247960395,0.0,0.01
61,2.0,28.0,renewToken,0xce4af93d4BA5CED45f3ec13c41000a6a00D67F6F,14.0,requester,0.0,2640.7578105792004,22.53494732620556,457.1147872492305,4.617321083325561,4.571147872492305,326.78386356292947,0.0,0.01
62,2.0,29.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2704.9455929059204,64.18778232672,497.27579372443046,457.1147872492305,497.27579372443046,326.78386356292947,904.1133575635201,0.01
63,2.0,29.0,addDataRequester,0xDa6AaEBc5e56DCa69db4e6394048d0aEC37a8515,18.0,requester,0.0,2767.1532252249604,67.18039025628431,492.3030357871862,4.972757937244305,4.923030357871862,331.75662150017376,0.0,0.01
64,2.0,29.0,renewToken,0x27F82fD9E21a3758737Cf3BCCA9652064186107C,8.0,requester,0.0,2785.0708514678404,22.840656600997686,487.38000542931434,4.923030357871862,4.873800054293143,336.67965185804564,0.0,0.01
65,2.0,29.0,renewToken,0x38643b8d4A129c011F71B934f213582F19aFA04D,13.0,requester,0.0,2802.9884777107204,22.791426297418965,482.50620537502124,4.873800054293143,4.8250620537502105,341.5534519123388,0.0,0.01
66,2.0,30.0,addDataRequester,0x4E00241E4e362F7060DfbbE063694B2945FD8Daf,19.0,requester,0.0,2865.1961100297603,67.03269437279022,477.68114332127107,4.8250620537502105,4.77681143321271,346.37851396608903,0.0,0.01
67,2.0,30.0,renewToken,0xbf7ca7e607516Cd0F1b94a6C77F45fbFD936949C,1.0,requester,0.0,2883.1137362726404,22.694437676338534,472.9043318880583,4.77681143321271,4.729043318880583,351.1553253993017,0.0,0.01
68,2.0,30.0,renewToken,0xeA9C047468d4ee0c806F364150c7b1d709FfE2A1,15.0,requester,0.0,2901.0313625155204,22.646669562006405,468.17528856917767,4.729043318880583,4.681752885691775,355.8843687181823,0.0,0.01
69,2.0,31.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,2945.8326581049605,44.801295589439995,495.73437420533776,468.17528856917767,495.73437420533776,355.8843687181823,948.9146531529601,0.01
70,2.0,31.0,addDataRequester,0x7bCbFfa36ac191daD7411c2287402d5d226cf280,20.0,requester,0.0,3008.0402904240004,67.16497606109338,490.7770304632843,4.957343742053376,4.907770304632842,360.84171246023567,0.0,0.01
71,2.0,31.0,renewToken,0x2Ab8E2Df1ce02ECf6d0D0a34ee1e3d7470ebB5ff,12.0,requester,0.0,3025.9579166668805,22.825396547758665,485.86926015865146,4.907770304632842,4.858692601586514,365.7494827648685,0.0,0.01
72,2.0,31.0,renewToken,0xce4af93d4BA5CED45f3ec13c41000a6a00D67F6F,14.0,requester,0.0,3043.8755429097605,22.77631884471234,481.010567557065,4.858692601586514,4.810105675570649,370.60817536645504,0.0,0.01
73,2.0,31.0,renewToken,0x8F790E28279F916aBF4c2cf66814b78DAb341D3c,17.0,requester,0.0,3061.7931691526405,22.727731918696474,476.2004618814943,4.810105675570649,4.762004618814942,375.4182810420256,0.0,0.01
74,2.0,31.0,renewToken,0xDa6AaEBc5e56DCa69db4e6394048d0aEC37a8515,18.0,requester,0.0,3079.7107953955206,22.679630861940765,471.4384572626794,4.762004618814942,4.714384572626793,380.18028566084064,0.0,0.01
75,2.0,32.0,update,0x92D44e8579620F2Db88A12E70FE38e8CDB3541BA,0.0,provider,0.0,3131.5780700380806,51.86727464256,506.1588094101994,471.4384572626794,506.1588094101994,380.18028566084064,1000.7819277955201,0.01
76,2.0,32.0,addDataRequester,0x2fab64d92680ea45ab47c6A8b75464D44dd7b771,21.0,requester,0.0,3193.7857023571205,67.269220413142,501.0972213160974,5.061588094101993,5.010972213160972,385.24187375494256,0.0,0.01
